when,giveFeedback,condition,timerStart,readingTime,readingTimeEstimate,kolikoProcitaoText1,kolikoProcitaoText2,kolikoProcitaoText3,readingDeficits,which,readingDifficultiesThisExp,practiceForActivity_1,practiceForActivity_2,practiceForActivity_3,practiceForActivity_4,practiceForFinal_1,practiceForFinal_2,practiceForFinal_3,practiceForFinal_4,genKnowledge_1_1,genKnowledge_1_2,genKnowledge_1_3,genKnowledge_1_4,genKnowledge_1_5,genKnowledge_1_6,genKnowledge_1_7,genKnowledge_1_8,genKnowledge_1_9,genKnowledge_1_10,genKnowledge_2_1,genKnowledge_2_2,genKnowledge_2_3,genKnowledge_2_4,genKnowledge_2_5,genKnowledge_2_6,genKnowledge_2_7,genKnowledge_2_8,genKnowledge_2_9,genKnowledge_2_10,content_1_1,content_1_2,content_1_3,content_1_4,content_1_5,content_1_6,content_1_7,content_1_8,content_1_9,content_1_10,content_2_1,content_2_2,content_2_3,content_2_4,content_2_5,content_2_6,content_2_7,content_2_8,content_2_9,content_2_10,content_3_1,content_3_2,content_3_3,content_3_4,content_3_5,content_3_6,content_3_7,content_3_8,content_3_9,content_3_10,content_3_11,content_3_12,content_3_13,content_3_14,content_3_15,content_3_16,content_3_17,content_3_18,content_3_19,content_3_20,isIntrusor_2_1,isIntrusor_2_2,isIntrusor_2_3,isIntrusor_2_4,isIntrusor_2_5,isIntrusor_2_6,isIntrusor_2_7,isIntrusor_2_8,isIntrusor_2_9,isIntrusor_2_10,isIntrusor_3_1,isIntrusor_3_2,isIntrusor_3_3,isIntrusor_3_4,isIntrusor_3_5,isIntrusor_3_6,isIntrusor_3_7,isIntrusor_3_8,isIntrusor_3_9,isIntrusor_3_10,isIntrusor_3_11,isIntrusor_3_12,isIntrusor_3_13,isIntrusor_3_14,isIntrusor_3_15,isIntrusor_3_16,isIntrusor_3_17,isIntrusor_3_18,isIntrusor_3_19,isIntrusor_3_20,totalCorrect,totalIntrusors,activityFactor
2019-02-25T12:09:40Z,FALSE,content_noFeedback,1551092993.0714664,231.30994367599487,5,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,NE,ne,NE,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,9,4,content
2019-02-25T18:06:24Z,FALSE,content_noFeedback,1551114405.0677142,193.16555547714233,5,"više nego jednom, ali nešto manje od jedan i pola puta","više nego jednom, ali nešto manje od jedan i pola puta","više nego jednom, ali nešto manje od jedan i pola puta",NE,ne,NE,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,2,content
2019-02-11T10:00:42Z,TRUE,content_feedback,1549875666.04971,328.17355012893677,7,"više nego jednom, ali nešto manje od jedan i pola puta",jednom cijeli tekst i preletjeti ključne dijelove,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,NE,NE,NE,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,16,4,content
2019-02-11T10:54:34Z,FALSE,rereading,1549878898.5258248,248.60865545272827,5,oko dva puta,oko dva puta,jednom cijeli tekst,NE,/,NE,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,10,6,rereading
2019-02-11T12:01:15Z,FALSE,content_noFeedback,1549882909.656096,299.79785466194153,6,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,ne,NE,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,7,6,content
2019-02-11T13:01:03Z,TRUE,general_feedback,1549886481.664513,170.59428119659424,5,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,-,NE,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,8,7,general
2019-02-11T14:04:45Z,FALSE,general_noFeedback,1549890318.6844049,361.39793634414673,7,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,NE,NE,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,2,general
2019-02-11T15:01:54Z,TRUE,general_feedback,1549893730.4506483,234.99151611328125,5,jednom cijeli tekst,jednom cijeli tekst,jednom cijeli tekst,NE,NE,DA,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,6,general
2019-02-11T15:59:24Z,FALSE,general_noFeedback,1549897183.3817093,287.84199929237366,6,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,NEMAM,NE,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,4,general
2019-02-12T10:02:33Z,FALSE,general_noFeedback,1549962183.67214,247.76414370536804,5,"više od jedan i pola puta, ali manje od dva puta","više od jedan i pola puta, ali manje od dva puta","više nego jednom, ali nešto manje od jedan i pola puta",NE,/,NE,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,2,general
